英語,意味
英語,意味
achieve,達成する
admire,感心する、称賛する
advice,忠告、アドバイス
allow,許可する
ancient,古代の
announce,発表する
anxious,心配して、切望して
apologize,謝る
appearance,外見、登場
appropriate,適切な
area,地域、面積
arrival,到着
article,記事
attitude,態度
average,平均、平均の
basic,基本的な
behavior,ふるまい、行動
believe,信じる
belong,属する
benefit,利益、恩恵
brain,脳
bridge,橋
bright,明るい、頭の良い
broad,広い
calorie,カロリー
capital,首都、資本
career,経歴、職業
celebrate,祝う
century,世紀
chance,機会、可能性
character,性格、登場人物
chemical,化学の
choice,選択
climate,気候
common,共通の、一般的な
communicate,伝える、意思疎通する
compare,比較する
complain,不平を言う
condition,状態、条件
connect,つなぐ
consider,考える、検討する
continue,続ける
convenient,便利な
create,創造する
culture,文化
curious,好奇心が強い
custom,習慣
dangerous,危険な
decide,決める
degree,度、程度、学位
delicate,繊細な
delicious,おいしい
describe,描写する、説明する
design,設計する、デザイン
develop,発達させる、開発する
difference,違い
difficult,難しい
discover,発見する
distance,距離
education,教育
effort,努力
electricity,電気
encourage,励ます
environment,環境
especially,特に
exchange,交換する
excited,興奮した
experience,経験
explain,説明する
expression,表現
famous,有名な
favorite,お気に入りの
feather,羽
foreign,外国の
forward,前へ
future,未来
general,一般的な
gesture,身振り、ジェスチャー
government,政府
graduate,卒業する
health,健康
history,歴史
honest,正直な
imagine,想像する
improve,改善する、上達する
increase,増える、増やす
individual,個人の
influence,影響
information,情報
international,国際的な
introduce,紹介する
island,島
journey,旅行
knowledge,知識
language,言語
local,地元の
memory,記憶
necessary,必要な
opinion,意見
opportunity,機会